"interview__key","y5_hhid","y4_hhid","indidy5","hh_b01","hh_b02","hh_b03_1","hh_b03_2","hh_b04","hh_b05","hh_b06","hh_b07","hh_b08","hh_b09_1","hh_b0a","hh_b0b","hh_b10","hh_b11","hh_b12_1","hh_b12_2","hh_b13","hh_b14","hh_b15_1","hh_b15_2","hh_b16","hh_b17","hh_b18","hh_b19","hh_b20","hh_b21_1","hh_b21_2","hh_b21_3","hh_b21_4","hh_b22","hh_b23_1","hh_b23_2","hh_b23_3","hh_b23_4","hh_b24","hh_b25","hh_b26","hh_b27_2","hh_b27_3","hh_b28","hh_b29_2","hh_b29_3"
"91-42-46-84","1009-001-01","1009-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",42,1,1,1,0,1,1,,7,1,97,,,3,98,,38,3,1,1,1,3,,,,1,2,,,,2,,99,,,,,
"91-42-46-84","1009-001-01","1009-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",32,2,2,1,31,1,1,,0,1,98,,31,8,97,,,2,1,1,1,3,,,,1,1,,,,2,,99,,,,,
"91-42-46-84","1009-001-01","1009-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",11,3,3,1,0,1,2,2,8,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"91-42-46-84","1009-001-01","1009-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",6,3,99,1,0,1,2,2,8,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"34-08-29-97","1019-001-01","1019-001",1,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",37,1,1,1,31,1,1,,2,16,98,,6,3,97,,,3,1,6,,,,,,,,,,,,,3,2,22,7,2,22
"34-08-29-97","1019-001-01","1019-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",16,3,2,1,31,1,1,,0,14,97,,,3,96,1,,,1,6,,,,,,,,,,,,,3,2,22,5,2,22
"34-08-29-97","1019-001-01","1019-001",3,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",3,3,99,1,31,1,2,1,2,17,97,,,3,96,1,,,2,,,,,,,,,,,,,,,,,,,
"25-94-08-50","1020-001-01","1020-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",45,1,1,1,20,1,1,,3,10,98,,19,3,97,,,1,1,1,1,2,,,,1,2,,,,2,,2,21,216,4,21,216
"25-94-08-50","1020-001-01","1020-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",36,2,2,1,30,1,2,1,0,10,97,,,3,97,,,3,1,1,1,2,,,,1,1,,,,2,,2,3,34,1,3,34
"25-94-08-50","1020-001-01","1020-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",7,3,3,1,30,1,2,1,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"42-43-09-21","1021-001-01","1021-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",33,1,1,2,30,1,1,,11,9,98,,26,3,97,,,3,1,4,,,,,,,,,,,,,9,1,15,1,18,182
"88-63-59-87","1022-001-01","1022-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",40,1,1,2,30,1,2,2,5,4,98,,34,3,97,,,3,1,1,1,2,,,,1,2,,,,2,,11,53,532,1,5,52
"88-63-59-87","1022-001-01","1022-001",2,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",34,2,2,1,30,1,1,,0,10,98,,9,3,97,,,5,1,1,1,2,,,,1,1,,,,2,,7,53,532,4,12,121
"88-63-59-87","1022-001-01","1022-001",3,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",14,3,3,1,30,1,1,,0,14,96,1,,,96,2,,,1,6,,,,,,,,,,,,,7,53,532,4,7,72
"88-63-59-87","1022-001-01","1022-001",4,"**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**",11,3,4,1,30,1,2,2,0,14,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"88-63-59-87","1022-001-01","1022-001",5,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",4,3,99,1,30,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"88-63-59-87","1022-001-01","1022-001",6,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",0,3,99,1,30,1,2,2,0,17,96,1,,,96,2,,,2,,,,,,,,,,,,,,,,,,,
"67-34-56-15","1023-001-01","1023-001",1,"**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**",34,1,1,1,28,1,1,,0,10,98,,11,8,98,,20,8,1,1,1,2,,,,1,2,,,,2,,5,1,14,1,1,15
