"y4_hhid","cluster","strata","hhweight","region","district","ward","village","ea","month","quarter","urban","area","mainland","femalehead","hhsize","adulteq","intyear","intmonth","nf_clothing","nf_utilities","nf_hhexpenses","nf_transport","nf_communic","nf_recreat","nf_other","dur_exp","rent_exp","foodIN","foodOUT","educa","health","expm","fisherb4c4","foodINR_pae","foodOUTR_pae","educaR_pae","healthR_pae","nf_clothingR_pae","nf_utilitiesR_pae","nf_hhexpensesR_pae","nf_transportR_pae","nf_communicR_pae","nf_recreatR_pae","nf_otherR_pae","dur_expR_pae","rent_expR_pae","expmR_pae"
"7752-001",50706305024,2,3282.56567382813,5,7,63,4,315,7,3,2,2,1,0,4,3.03999999165535,2015,4,265000,614800,26000,0,780000,0,218400,72049.8356405325,936428.3125,2958800,1404000,27000,0,7302478.5,1.00564885139465,74243.90625,35229.9765625,677.49951171875,0,6649.5322265625,15426.9150390625,652.406921386719,0,19572.208984375,0,5480.21826171875,1807.91589355469,23497.396484375,183237.984375
"6667-001",30216302592,2,2884.11450195313,3,2,163,2,302,9,3,2,2,1,0,1,1,2015,6,255000,96000,168000,4200000,168000,0,75600,105059.993372264,842864.625,0,2641600,0,130000,8682125,1.00564885139465,0,201505.015625,0,9916.5849609375,19451.763671875,7323.01708984375,12815.279296875,320382,12815.279296875,0,5766.8759765625,8014.1259765625,64294.9140625,662284.875
"6440-001",230208307200,2,1953.63391113281,23,2,83,1,307,9,3,2,2,1,0,4,2.91999998688698,2015,6,133000,101200,30000,780000,24000,0,90000,15149.9813012623,132860.265625,1282840,0,166000,0,2755050.25,1.00564885139465,33512.625,0,4336.546875,0,3474.46215820313,2643.72607421875,783.713317871094,20376.544921875,626.970642089844,0,2351.13989257813,395.774719238281,3470.81176757813,71972.3125
"6549-001",160406208512,2,2284.884765625,16,4,62,3,5,8,3,2,2,1,0,5,3.31999999284744,2015,5,75000,88400,12000,145600,72000,0,42000,18445.4241624745,47188.4609375,1198600,520000,19000,71500,2309734,1.00564885139465,27539.43359375,11947.693359375,436.550323486328,1642.80786132813,1723.22497558594,2031.10791015625,275.716003417969,3345.35400390625,1654.29602050781,0,965.005981445313,423.808227539063,1084.2177734375,53069.21875
"6439-001",230208307200,2,1953.63391113281,23,2,83,1,307,9,3,2,2,1,0,5,3.15999999642372,2015,6,306500,173200,40000,0,720000,0,565200,19342.6451516766,198441.328125,3156400,208000,0,0,5387084,1.00564885139465,76194.5234375,5021.05615234375,0,0,7398.8154296875,4180.99462890625,965.587646484375,0,17380.578125,0,13643.75390625,466.925506591797,4790.3125,130042.546875
"6666-001",30216302592,2,2884.11450195313,3,2,163,2,302,9,3,2,2,1,1,4,3.87999999523163,2015,6,386000,72000,122000,1040000,720000,0,216000,84009.0195040651,199056.953125,3359200,1591200,1715000,0,9504466,1.00564885139465,66042.4140625,31283.248046875,33717.17578125,0,7588.822265625,1415.53161621094,2398.53979492188,20446.568359375,14155.31640625,0,4246.5947265625,1651.630859375,3913.49194335938,186859.34375
"7998-001",190425219072,2,3225.09790039063,19,4,252,14,4,9,3,2,2,1,0,10,9.20000001788139,2015,6,61000,2052400,14400,52000,84000,0,281200,193657.16507061,1413456.25,5928000,2069600,1873000,555100,14577813,1.00564885139465,49151.76953125,17160.00390625,15529.9033203125,4602.5888671875,505.779022216797,17017.390625,119.397018432617,431.155883789063,696.482604980469,0,2331.55834960938,1605.70056152344,11719.615234375,120871.34375
"6550-001",160406208512,2,2284.884765625,16,4,62,3,5,8,3,2,2,1,0,8,5.71999996900558,2015,5,71000,215200,107000,0,18000,0,78000,57603.8755005147,475199.59375,483600,0,48800,110500,1664903.5,1.00564885139465,6449.248046875,0,650.792602539063,1473.61853027344,946.849853515625,2869.888671875,1426.94274902344,0,240.046447753906,0,1040.20129394531,768.200317382813,6337.220703125,22203.009765625
"6662-001",30216302592,2,2884.11450195313,3,2,163,2,302,9,3,2,2,1,1,5,4.43999999761581,2015,6,0,221600,12000,0,60000,0,142000,17619.3785030738,166767.953125,1395160,0,250550,130000,2395697.5,1.00564885139465,23969.548828125,0,4304.57470703125,2233.46508789063,0,3807.19921875,206.166015625,0,1030.830078125,0,2439.63110351563,302.709747314453,2865.15698242188,41159.28515625
"8132-001",220602204160,2,1623.17944335938,22,6,22,1,3,8,3,2,2,1,1,1,0.879999995231628,2015,5,155000,286000,264000,0,180000,0,120400,6369.87969150238,360000,985400,0,0,0,2357170,1.00564885139465,85417.859375,0,0,0,13435.93359375,24791.462890625,22884.427734375,0,15603.01953125,0,10436.6865234375,552.1630859375,31206.0390625,204327.609375
"8144-001",60105302016,2,6321.302734375,6,1,53,2,305,8,3,2,2,1,0,3,2.28000000119209,2015,5,154000,420400,40000,0,60000,0,223200,27500.3821938581,240000,2155400,1092000,0,0,4412500.5,1.00564885139465,72112.7109375,36534.7890625,0,0,5152.341796875,14065.224609375,1338.27062988281,0,2007.40600585938,0,7467.55029296875,920.073852539063,8029.6240234375,147628
