"y5_hhid","booster","cluster","strata","hhweight2","urban","area","region","district","month","quarter","mainland","femalehead","hhsize","adulteq","intyear","intmonth","hhweight_pan","hhweight","nf_clothing","nf_utilities","nf_hhexpenses","nf_transport","nf_communic","nf_recreat","nf_other","dur_exp","rent_exp","foodIN","foodOUT","educa","health","expm","fisherb4c4","foodINR_pae","foodOUTR_pae","educaR_pae","healthR_pae","nf_clothingR_pae","nf_utilitiesR_pae","nf_hhexpensesR_pae","nf_transportR_pae","nf_communicR_pae","nf_recreatR_pae","nf_otherR_pae","dur_expR_pae","rent_expR_pae","expmR_pae"
"6116-001-01",0,180226310144,3,3422.90600585938,1,3,18,182,8,3,1,1,8,6.03999996185303,2021,8,2823.86669921875,3422.90600585938,12500,34000,24000,0,12000,0,28800,17787.3383223288,178613.21875,1735866.25,0,68000,778700,2890266.75,0.961722493171692,22924.228515625,0,898.022827148438,10283.681640625,165.077728271484,449.011413574219,316.94921875,0,158.474609375,0,380.339080810547,234.903457641602,2358.80517578125,38169.4921875
"6174-001-01",0,180407107584,3,6943.25927734375,1,3,18,184,8,3,1,0,7,4.95999997854233,2021,8,6364.1533203125,6943.25927734375,38500,18000,36000,78000,18000,0,66000,3457.87019521351,66053.6953125,1141400,0,45000,0,1510411.625,0.961722493171692,18355.7265625,0,723.679443359375,0,619.14794921875,289.471771240234,578.943542480469,1254.37768554688,289.471771240234,0,1061.396484375,55.6086578369141,1062.26000976563,24290.0859375
"8854-001-10",0,140714098688,3,728.169250488281,1,3,14,147,7,3,1,1,11,8.44000002741814,2021,7,843.287658691406,728.169250488281,221000,52000,68000,0,24000,0,156000,24215.7932781161,71636.8359375,4070337.25,0,97000,28600,4812790,0.961722493171692,38468.33203125,0,916.73681640625,270.295593261719,2088.64794921875,491.446533203125,642.660888671875,0,226.821487426758,0,1474.33959960938,228.860916137695,677.0322265625,45485.171875
"8663-001-01",0,130330304512,3,1763.88781738281,1,3,13,137,7,3,1,0,5,3.72000002861023,2021,7,2342.0986328125,1763.88781738281,456500,406400,118000,0,540000,0,156000,122735.600516696,446185.53125,3583011,1456000,165000,1729000,9178833,0.961722493171692,76828.1875,31220.06640625,3537.98828125,37073.828125,9788.4345703125,8714.1728515625,2530.19775390625,0,11578.87109375,0,3345.00708007813,2631.740234375,9567.267578125,196815.78125
"7692-001-01",0,50424102912,3,3934.91040039063,1,3,5,54,8,3,1,0,3,3.08000004291534,2021,8,3885.92456054688,3934.91040039063,69000,16400,34000,0,0,0,60000,30539.2254779057,155553.328125,2242758.75,26000,40000,57200,2731451.25,0.961722493171692,58082.7578125,673.345581054688,1035.91625976563,1481.3603515625,1786.95556640625,424.725677490234,880.528869628906,0,0,0,1553.87438964844,790.902038574219,4028.50561523438,70738.8671875
"8569-001-01",0,240408100864,3,3112.37841796875,1,3,24,244,8,3,1,1,10,6.80000001192093,2021,8,2479.75415039063,3112.37841796875,428500,26000,72000,52000,18000,0,80400,12981.725933968,222814.109375,3302526.25,0,142000,110500,4467721.5,0.961722493171692,38739.38671875,0,1665.69250488281,1296.19030761719,5026.40283203125,304.985931396484,844.576477050781,609.971862792969,211.144119262695,0,943.110412597656,152.278610229492,2613.66040039063,52407.39453125
"8661-001-01",0,130330304512,3,8963.533203125,1,3,13,137,7,3,1,0,4,2.91999998688698,2021,7,9518.7451171875,8963.533203125,202000,125200,9065000,0,120000,0,230400,160568.483781268,280594.75,3933994.25,0,98000,3458000,17673756,0.961722493171692,107464.8046875,0,2677.06323242188,94462.0859375,5518.0283203125,3420.08471679688,247628.34375,0,3278.03662109375,0,6293.830078125,4386.24462890625,7664.99853515625,482793.46875
"7233-001-02",0,120506105856,3,5261.59375,1,3,12,263,7,3,1,1,1,0.720000028610229,2021,7,6081.35791015625,5261.59375,12000,0,22000,0,0,0,21000,41871.9418176349,133107.53125,509638.75,0,0,0,739618.25,0.961722493171692,56460.578125,0,0,0,1329.42590332031,0,2437.28076171875,0,0,0,2326.49536132813,4638.8037109375,14746.3828125,81938.96875
"7693-001-02",0,50424102912,3,7115.580078125,1,3,5,54,8,3,1,1,3,2,2021,8,7496.193359375,7115.580078125,20000,41200,24000,0,12000,0,56400,8856.26224975967,119894.6640625,1185087.25,0,0,0,1467438.125,0.961722493171692,47264.5703125,0,0,0,797.655578613281,1643.17041015625,957.186645507813,0,478.593322753906,0,2249.388671875,353.212341308594,4781.732421875,58525.5078125
"7045-001-03",0,210223104000,3,6622.3330078125,1,3,21,212,7,3,1,0,7,4.63999998569489,2021,7,6507.81982421875,6622.3330078125,353000,22400,22000,0,36000,0,30000,33233.0428696173,105105.09375,2293236,0,46000,0,2940974,0.961722493171692,39422.68359375,0,790.779235839844,0,6068.37109375,385.075103759766,378.198760986328,0,618.870666503906,0,515.7255859375,571.304321289063,1806.84619140625,50557.8515625
"7254-001-02",0,120612102144,3,5889.6806640625,1,3,26,262,7,3,1,0,4,2.75999999046326,2021,7,6045.50634765625,5889.6806640625,59000,10400,24000,252000,12000,0,12000,328972.287572749,177181.671875,1948160.5,26000,0,32500,2882214.5,0.961722493171692,56302.9375,751.414672851563,0,939.268310546875,1705.13330078125,300.565856933594,693.613525390625,7282.94189453125,346.806762695313,0,346.806762695313,9507.484375,5120.650390625,83297.625
"6113-001-01",0,180226310144,3,2529.10278320313,1,3,18,182,8,3,1,1,3,2.75999999046326,2021,8,2219.48803710938,2529.10278320313,121500,41200,12000,0,18000,0,66000,25929.8861217707,167774.796875,1168045.625,0,49000,201500,1870950.25,0.961722493171692,33757.17578125,0,1416.12756347656,5823.46337890625,3511.41845703125,1190.70324707031,346.806762695313,0,520.210144042969,0,1907.43725585938,749.388305664063,4848.7861328125,54071.515625
"6173-001-01",0,180407107584,3,7119.72119140625,1,3,18,184,8,3,1,0,5,3.31999999284744,2021,8,5902.150390625,7119.72119140625,37000,155200,28800,0,12000,1000,48000,16870.8520776101,172472.078125,626600,0,0,0,1097943,0.961722493171692,15054.546875,0,0,0,888.953491210938,3728.79956054688,691.942138671875,0,288.309234619141,24.0257701873779,1153.23693847656,405.335205078125,4143.7744140625,26378.92578125
"1006-001-03",0,20203304960,3,3029.255859375,1,3,2,23,9,3,1,0,3,2.35999998450279,2021,9,2938.5947265625,3029.255859375,360000,80000,40000,790400,84000,0,44400,173183.723689245,360000,1236300,1404000,0,273000,4845283.5,0.961722493171692,41785.66015625,47453.74609375,0,9227.1171875,12167.626953125,2703.91723632813,1351.95861816406,26714.701171875,2839.11303710938,0,1500.67407226563,5853.4306640625,12167.626953125,163765.5625
"8224-001-01",0,150209101824,3,8963.533203125,1,3,15,152,9,3,1,0,4,3.15999999642372,2021,9,9789.779296875,8963.533203125,20000,0,41000,0,0,0,15600,1505.9068420152,82563.0234375,414700,78000,0,221000,874368.9375,0.961722493171692,10467.966796875,1968.89660644531,0,5578.54052734375,504.845275878906,0,1034.93286132813,0,0,0,393.779327392578,38.0124969482422,2084.07763671875,22071.052734375
"8588-001-01",0,240424108032,3,1046.37426757813,1,3,24,244,8,3,1,0,8,6.59999996423721,2021,8,872.881164550781,1046.37426757813,178000,64400,142600,1288000,108000,0,104400,152887.949980227,282049.6875,3567200,0,74600,780000,6742137.5,0.961722493171692,43112.07421875,0,901.592468261719,9426.8388671875,2151.2529296875,778.318481445313,1723.41943359375,15566.369140625,1305.25451660156,0,1261.74609375,1847.75646972656,3408.76513671875,81483.3828125
"8225-001-01",0,150209101824,3,4220.4892578125,1,3,15,152,9,3,1,0,8,5.68000000715256,2021,9,3814.78100585938,4220.4892578125,83000,26000,36000,48000,30000,0,37200,42685.7168037962,74336.53125,1240918.875,436800,0,110500,2165441.25,0.961722493171692,17426.51171875,6134.08349609375,0,1551.77709960938,1165.58825683594,365.1240234375,505.556335449219,674.075134277344,421.296936035156,0,522.408203125,599.445434570313,1043.92517089844,30409.79296875
"8012-001-01",0,190509105152,3,1000.99365234375,1,3,19,195,7,3,1,1,9,6.96000000834465,2021,7,846.707458496094,1000.99365234375,298000,93600,340000,156000,72000,0,130800,117248.870742382,232826.53125,2029924,364000,455000,195000,4484399.5,0.961722493171692,23264.08203125,4171.64697265625,5214.55859375,2234.81079101563,3415.24926757813,1072.70922851563,3896.59326171875,1787.8486328125,825.160888671875,0,1499.04235839844,1343.73864746094,2668.32446289063,51393.765625
