"interview__key","y5_hhid","plot_id","cropid","ag4a_01","ag4a_02","ag4a_03","ag4a_04","ag4a_05","ag4a_06","ag4a_08","ag4a_10_1","ag4a_10_2","ag4a_10a_1","ag4a_10a_2","ag4a_10b","ag4a_10c_1","ag4a_10c_2","ag4a_12","ag4a_13_1","ag4a_13_2","ag4a_17","ag4a_18","ag4a_19","ag4a_20","ag4a_21","ag4a_22","ag4a_23","ag4a_24_1","ag4a_24_2","ag4a_25","ag4a_26","ag4a_27","ag4a_28","ag4a_29_1","ag4a_29_2"
"20-66-75-40","1323-001-04",1,12,1,,,2,,"SUPA",2,15,1,0,,,15,1,10000,1,1,1,7,1,,1,1,2,5,5,,,360,180000,1,
"99-92-94-71","1329-001-01",1,998,2,2,1,1,2,"MBEGU ZA ASILI",2,2,1,2,1,2,0,,,,,2,,1,,0.2,2,,6,7,,,50,50000,1,
"96-56-62-65","1331-001-01",1,998,1,,,2,,"MUHOGO",2,1,2,0,,,0,,,,,2,,1,,0.3,2,,4,0,20,,85,50000,1,
"85-21-92-45","1348-001-01",1,11,2,3,1,1,2,"PIONEA",1,560,1,0,,,560,1,420000,19,5,2,,1,,70,2,,5,7,,,40308,16929360,1,2
"85-21-92-45","1348-001-01",1,26,2,1,1,1,2,"RED BOMBEI",1,1,1,0,,,1,1,110000,10,5,2,,1,,0.5,1,7,5,11,,,4600,3220000,1,2
"85-21-92-45","1348-001-01",1,35,2,1,1,1,2,"MBEGU ASILI",2,150,1,0,,,150,1,315000,16,5,2,,1,,13,1,4,11,11,,,4700,5076000,1,
"85-21-92-45","1348-001-01",1,41,2,1,1,1,2,"MBEGU ZA ASILI",2,80,1,0,,,80,1,40000,19,5,1,5,1,,20,2,,5,7,,,9800,4900000,1,
"35-22-61-35","1401-001-01",1,11,1,,,2,,"MAHINDI",1,8,1,0,,,8,1,48000,9,1,1,3,1,,1,2,,7,7,,,800,304000,1,2
"35-22-61-35","1401-001-01",2,11,1,,,2,,"MAHINDI",1,8,1,0,,,8,1,48000,9,1,1,3,1,,1,1,4,7,7,,,400,152000,1,2
"35-22-61-35","1401-001-01",3,11,1,,,2,,"MAHINDI",1,2,1,0,,,2,1,12000,9,1,2,,1,,0.5,2,,7,7,,,50,19000,1,2
"39-91-71-06","1403-001-01",1,11,1,,,1,2,"MAHINDI",2,1,1,0,,,3,1,12000,9,4,2,,1,,0.3,2,,6,6,,,400,70000,1,
"79-50-93-44","1462-001-01",1,32,2,2,1,1,2,"KUNDE  NENE",2,1,1,0,,,1,1,1300,16,1,2,,1,,0.03,2,,2,4,,,20,18000,2,
"79-50-93-44","1462-001-01",1,998,2,2,1,1,2,"MATEMBELE   MAPANA",2,2,1,0,,,0,,,,,2,,1,,0.03,2,,2,4,,,33,15000,2,
"88-91-41-19","1541-001-01",1,32,1,,,2,,"KUNDE  NDOGO",2,250,5,0,,,250,5,750,4,1,2,,1,,0.05,2,,2,4,,,11,18000,2,
"98-95-18-17","1556-001-01",1,32,2,1,1,1,2,"KUNDE  NENE",2,250,5,0,,,250,5,500,16,1,2,,1,,0.02,2,,2,4,,,8,6000,2,
"98-95-18-17","1556-001-01",1,998,2,2,1,1,2,"MATEMBELE  YA  ASILI",2,1,1,0,,,0,,,,,2,,1,,0.01,2,,2,4,,,11,6000,2,
"07-54-14-55","1559-001-01",1,22,1,,,2,,"MBEGU YA VIAZI(RANGI YA KAROTI)",2,2,5,0,,,2,5,4000,4,2,2,,1,,0.25,1,9,8,8,,,60,20000,2,
"07-54-14-55","1559-001-01",2,998,1,,,2,,"MBEGU YA MIHOGO(CHEUPE)",2,200,5,200,5,2,0,,,,,2,,1,,1,2,,7,0,98,,450,300000,1,
"00-17-71-97","1596-001-01",1,11,2,1,1,1,2,"DAPU",1,16,1,0,,,16,1,112000,9,3,2,,1,,4,2,,11,12,,,2240,896000,1,2
"00-17-71-97","1596-001-01",1,31,2,1,1,1,2,"WIFI",2,15,1,15,1,2,0,,,,,1,8,1,,2,1,1,12,12,,,560,1120000,1,2
"26-08-75-88","1665-001-01",3,12,1,,,2,,"KILOMBERO",3,4,2,4,2,3,0,,,,,2,,1,,1,2,,5,7,,,2250,900000,1,2
"59-65-56-21","1707-001-01",1,22,2,3,8,2,,"MBEGU ZA VIAZI VITAM(VYEUPE)",2,2,2,2,2,2,0,,,,,2,,1,,0.25,2,,10,10,,,60,30000,2,
"36-06-21-60","1708-001-07",1,33,2,2,1,2,,"ASILI",2,3,1,3,1,2,0,,,,,1,8,1,,2,2,,4,5,,,290,348000,1,
"42-24-69-58","1725-001-02",1,11,1,,,2,,"PANA",1,6,1,0,,,6,1,12000,9,1,1,2,1,,0.5,1,5,6,6,,,216,180000,1,
"51-51-72-36","1744-001-01",3,12,1,,,2,,"MPUNGA",2,10,1,10,1,2,0,,,,,2,,1,,1,2,,4,4,,,500,350000,1,
"15-97-35-81","1745-001-01",1,32,1,,,1,2,"KUNDE   NDOGO",2,2,1,0,,,2,1,3000,4,1,2,,1,,0.18,2,,2,4,,,35,35000,1,
"15-97-35-81","1745-001-01",1,43,1,,,1,2,"NYEKUNDU",2,2,1,0,,,2,1,4000,4,2,2,,1,,0.18,2,,5,6,,,64,96000,1,
"15-97-35-81","1745-001-01",2,12,2,2,1,2,,"MBEGU   YA  KILOMBERO",2,10,1,0,,,10,1,6000,1,1,2,,1,,1,2,,5,6,,,480,540000,1,
"46-39-86-17","1765-001-01",1,12,1,,,2,,"MPUNGA",2,20,1,20,1,2,0,,,,,2,,1,,1,2,,5,6,,,400,480000,1,
"46-39-86-17","1765-001-01",2,998,1,,,2,,"MUHOGO",2,80,1,0,,,0,,,,,1,5,1,,1,2,,5,5,,,300,150000,1,
"88-80-90-94","1766-001-01",1,12,1,,,2,,"SUPA",2,2,2,2,2,2,0,,,,,2,,1,,0.3,1,2,6,6,,,200,300000,1,
"17-64-18-79","1768-001-01",1,12,2,2,8,2,,"MBEGU YA MPUNGA(SUPA)",2,1,2,1,2,2,0,,,,,2,,1,,0.25,2,,7,7,,,150,120000,1,
"76-34-61-71","1779-001-01",1,11,2,2,1,2,,"ASILI",2,10,1,10,1,2,0,,,,,2,,1,,2,2,,6,6,,,972,270000,1,
"76-34-61-71","1779-001-01",1,34,2,1,1,2,,"ASILI",2,10,1,10,1,2,0,,,,,2,,1,,1.5,2,,8,8,,,220,200000,1,
"97-53-95-82","1780-001-01",1,11,2,1,1,2,,"ASILI",2,10,1,10,1,2,0,,,,,1,3,1,,1.5,2,,6,6,,,864,240000,1,
"97-53-95-82","1780-001-01",1,34,2,1,1,2,,"ASILI",2,1,2,1,2,2,0,,,,,2,,1,,3,2,,9,9,,,360,120000,1,
