"interview__key","y5_hhid","cropid","ag10_02_1","ag10_02_2","ag10_02_3","ag10_03","ag10_02_2a","ag10_02_2b","ag10_02_2c","ag10_02_2d","ag10_02_2e","ag10_02_2f","ag10_02_2g","ag10_02_2h","ag10_02_2i","ag10_02_2j","ag10_04_1","ag10_04_2","ag10_05","ag10_06","ag10_07_1","ag10_07_2","ag10_08","ag10_09_1","ag10_09_2","ag10_10_1","ag10_10_2","ag10_11","ag10_12_1a","ag10_12_1b","ag10_12_2a","ag10_12_2b","ag10_13","ag10_14"
"11-69-06-89","4345-001-02",3,"ALIZETI",41,1,3,41,,,,,,,,,,51,2,240,2,,,,,,,,,,,,,1,31200
"11-69-06-89","4345-001-02",4,"ALIZETI",41,2,10,41,,,,,,,,,,189,1,240,1,189,1,240,1,,1,,57000,9,3,9,3,2,
"28-58-98-63","4346-001-01",1,"MAHINDI",11,2,9,11,,,,,,,,,,12,1,120,2,,,,,,,,,,,,,1,7200
"87-23-03-17","4349-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,490,1,600,2,,,,,,,,,,,,,1,36000
"87-23-03-17","4349-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,90,1,600,1,90,1,90,2,,2,,20000,9,1,9,1,2,
"95-89-60-91","4363-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,405,1,506,2,,,,,,,,,,,,,1,101200
"95-89-60-91","4363-001-01",2,"MAHINDI",11,2,9,11,,,,,,,,,,85,1,506,2,,,,,,,,,,,,,2,
"47-02-15-08","4364-001-01",2,"MAHINDI",11,1,1,11,,,,,,,,,,20,1,25,2,,,,,,,,,,,,,1,2500
"47-02-15-08","4364-001-01",3,"MAHINDI",11,2,9,11,,,,,,,,,,5,1,25,2,,,,,,,,,,,,,2,
"28-07-25-29","4364-001-02",1,"MPUNGA",12,1,2,12,,,,,,,,,,3,1,6,2,,,,,,,,,,,,,1,1000
"15-35-50-03","4365-001-01",1,"MAHINDI",11,1,1,11,,,,,,,,,,108,1,120,2,,,,,,,,,,,,,1,9000
"50-28-33-06","4365-001-03",1,"MAHINDI",11,1,1,11,,,,,,,,,,72,1,80,2,,,,,,,,,,,,,1,8000
"77-14-05-26","4367-001-01",1,"MUHOGO",21,1,1,21,,,,,,,,,,400,1,700,2,,,,,,,,,,,,,1,40000
"14-89-23-38","4367-001-02",1,"MUHOGO",21,1,1,21,,,,,,,,,,1000,1,1000,2,,,,,,,,,,,,,2,
"17-01-34-49","4368-001-03",1,"MPUNGA",12,1,8,12,,,,,,,,,,80,1,100,2,,,,,,,,,,,,,2,
